Course ID,Subject,Catalog,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses
174,ACCO,635,INTEGRATED APPROACH TO AUDIT,4.0,LEC,Lecture,"Prerequisite: ACCO678, ACCO643; Corequisite: ACCO613",GRAD,
178,ACCO,651,FINANCIAL REPORTING:COMP APP,4.0,LEC,Lecture,,GRAD,
182,ACCO,672,MANAGEMENT ACCOUNTING II,3.0,LEC,Lecture,,GRAD,
185,ACCO,681,FINAN L ACCO G/REPORT G III,3.0,LEC,Lecture,,GRAD,
186,ACCO,682,COMPREHENSIVE CASE ANALYSIS,3.0,LEC,Lecture,,GRAD,
187,ACCO,685,CASE ANALY/INTEG/EXAM PREP,6.0,LEC,Lecture,"At least one of You must complete ALL of the following rules Prerequisite: ACCO613, ACCO631, ACCO635",GRAD,
189,ACCO,690B,ADV EXAM WRITING TECHNIQUES,1.0,LEC,Lecture,,GRAD,
190,ACCO,691,BUSINESS VALUATIONS,3.0,LEC,Lecture,Prerequisite:MBA642,GRAD,
191,ACCO,695,SEMINAR IN SPECIAL TOPICS,3.0,LEC,Lecture,Prerequisite: MBA607 or MBA642,GRAD,
40004,ACCO,631T,TUT/BSNSS ADVISORY SERVICES,4.0,LEC,Lecture,,GRAD,
40005,ACCO,635T,TUT/INTEGRATED APPRO/AUDIT G,4.0,LEC,Lecture,,GRAD,
43001,ACCO,650,FINA REPORTING IN PRACTICE,4.0,LEC,Lecture,Students who have taken ACCO612 and ACCO643 may not take this course for credit,GRAD,
44001,ACCO,643X,SP TUTORIAL-INCOME TAXATION,1.0,TUT,Tutorial,,GRAD,
44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,,GRAD,ACCO 600 = ACCO 650T
44002,ACCO,650T,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,,GRAD,
44003,ACCO,651T,TUTORIAL IN FINA REP/COM APP,4.0,LEC,Lecture,,GRAD,
44004,ACCO,653,INFO SYS/INTERNAL CONTROL,4.0,LEC,Lecture,"Prerequisite: ACCO650, ACCO651",GRAD,
45085,ACCO,652,BUSINESS ADVISORY SERVICES,4.0,LEC,Lecture,"Prerequisite: ACCO650, AntiReq ACCO631",GRAD,
45114,ACCO,470,SPECIAL TOPICS IN ACCOUNTING,3.0,LEC,Lecture,,UGRD,
45884,ACCO,652T,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,,GRAD,
45885,ACCO,653T,TUTORIAL IN INF SYS/INT.CONT,4.0,LEC,Lecture,,GRAD,
46442,ACCO,471,ACCOUNTING SEMINAR,3.0,LEC,Lecture,,UGRD,
46443,ACCO,590,SPECIAL SEMINAR/ACCOUNTING,1.0,LEC,Lecture,,GRAD,
46444,ACCO,595,SPECIAL TOPICS IN ACCO,3.0,LEC,Lecture,,GRAD,
47353,ACCO,655,Taxation and Decision-Making,4.0,LEC,Lecture,PRE-REQ ACCO650 and ACCO651. Anti-Req ACCO643,GRAD,
47354,ACCO,655T,Tutorial in Taxation/Decision making,4.0,LEC,Lecture,,GRAD,
47360,ACCO,658,Capstone I Seminar,2.0,LEC,Lecture,"Prerequisite: ACCO650, 651, 652, 653 and two elective courses",GRAD,
47361,ACCO,658T,Tutorial in Capstone I Seminar,2.0,LEC,Lecture,,GRAD,
47363,ACCO,659,Capstone II Examination Preparation,4.0,LEC,Lecture,Corequisite: ACCO658 or ACCO658T or ACCO608,GRAD,
47364,ACCO,659T,Tutorial in Capstone II Examination,4.0,LEC,Lecture,,GRAD,
47367,ACCO,654,Assurance and Professional Practice,4.0,LEC,Lecture,"COURSE PRE-REQ ACCO650, ACCO651, ACCO653. Anti-Req ACCO635",GRAD,
47368,ACCO,654T,Tutorial in Assurance and Professional Practice,4.0,LEC,Lecture,,GRAD,
47369,ACCO,656,Performance Management,4.0,LEC,Lecture,COURSE Prerequisite ACCO652 and ACCO653,GRAD,
47370,ACCO,656T,Tutorial in Performance Management,4.0,LEC,Lecture,,GRAD,
47371,ACCO,657,Financial Strategies and Decisions,4.0,LEC,Lecture,COURSE Prerequisite ACCO652 and ACCO651,GRAD,
47372,ACCO,657T,Tutorial in Financial Strategies and Decisions,4.0,LEC,Lecture,,GRAD,
48073,ACCO,692,Managing After-Tax Returns,3.0,LEC,Lecture,ANTI-REQ for ACCO692,GRAD,
48544,ACCO,360,Principles of Auditing,3.0,LEC,Lecture,Prerequisite: COMM305. Never Taken ACCO465,UGRD,ACCO 432/ACCO 450/ACCO 360
48619,ACCO,495,HONOURS SEMINAR IN ACCOUNTANCY,6.0,LEC,Lecture,Prerequisite: ACCO400 and Enrolment in the honours program,UGRD,
48720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,Anti-Req ACCO600,GRAD,ACCO 600 = ACCO 650T
48720,ACCO,600,TUTORIAL IN FINA REP/PRACTICE,4.0,LEC,Lecture,Anti-Req ACCO600,GRAD,
48817,ACCO,601,TUTORIAL IN FINA REP/COM APP,4.0,LEC,Lecture,Anti-Req ACCO601,GRAD,ACCO 601 = ACCO 651T
48824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,Not ACCO652T,GRAD,ACCO 602 = ACCO 652T
48824,ACCO,602,TUTORIAL IN BUSINESS ADV SER,4.0,LEC,Lecture,Not ACCO652T,GRAD,
48825,ACCO,603,TUTORIAL IN INF SYS/INT.CONT,4.0,LEC,Lecture,Not ACCO653T,GRAD,ACCO 603 = ACCO 653T
48826,ACCO,604,Tutorial in Assurance and Professional Practice,4.0,LEC,Lecture,Not ACCO654T,GRAD,ACCO 604 = ACCO 654T
48827,ACCO,605,Tutorial in Taxation/Decision making,4.0,LEC,Lecture,Not ACCO655T,GRAD,ACCO 605 = ACCO 655T
48828,ACCO,606,Tutorial in Performance Management,4.0,LEC,Lecture,Not ACCO656T,GRAD,ACCO 606 = ACCO 656T
48829,ACCO,607,Tutorial in Financial Strategies and Decisions,4.0,LEC,Lecture,Not ACCO657T,GRAD,ACCO 607 = ACCO 657T
48830,ACCO,608,Tutorial in Capstone I Seminar,2.0,LEC,Lecture,Not ACCO658T,GRAD,ACCO 608 = ACCO 658T
48831,ACCO,609,Tutorial in Capstone II Examination,4.0,LEC,Lecture,Not ACCO659T,GRAD,ACCO 609 = ACCO 659T
50726,ACCO,496,Accounting Research Methods,3.0,LEC,Lecture,Prerequisite: ACCO400 and Enrolment in the honours program,UGRD,
50962,ACCO,497,Accounting Honours Seminar,3.0,LEC,Lecture,Prerequisite: ACCO496,UGRD,
47731,ACTT,231,Ensemble I,3.0,LAB,Laboratory,,UGRD,TPER 298 = ACTT 231
47731,ACTT,231,Ensemble I,3.0,STU,Studio,,UGRD,TPER 298 = ACTT 231
47732,ACTT,332,Improvisation,3.0,STU,Studio,Prerequisite ACTT332,UGRD,
47733,ACTT,432,Rasaboxes,3.0,STU,Studio,Prerequisite ACTT432,UGRD,TPER 398F = ACTT 432
47734,ACTT,436,One-Act Project,3.0,LAB,Laboratory,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,
47734,ACTT,436,One-Act Project,3.0,STU,Studio,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,
47735,ACTT,440,Supervised Acting Performance Project,3.0,LAB,Laboratory,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,
47735,ACTT,440,Supervised Acting Performance Project,3.0,STU,Studio,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,
47738,ACTT,450,Advanced Acting Studio,3.0,LAB,Laboratory,"Prerequisite: ACTT321, 325",UGRD,
47738,ACTT,450,Advanced Acting Studio,3.0,STU,Studio,"Prerequisite: ACTT321, 325",UGRD,
47740,ACTT,480,Designing an Acting Workshop,3.0,STU,Studio,,UGRD,TDEV 498 = ACTT 480
47741,ACTT,481,Conducting an Acting Workshop,3.0,LAB,Laboratory,,UGRD,TDEV 498 = ACTT 481
47741,ACTT,481,Conducting an Acting Workshop,3.0,STU,Studio,,UGRD,TDEV 498 = ACTT 481
47760,ACTT,460,Classical Text Project,3.0,LAB,Laboratory,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,PROD 411 = ACTT 460
47760,ACTT,460,Classical Text Project,3.0,STU,Studio,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,PROD 411 = ACTT 460
47761,ACTT,465,THE ACTOR'S PROFESSION,3.0,LAB,Laboratory,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465
47761,ACTT,465,THE ACTOR'S PROFESSION,3.0,STU,Studio,for students who have completed 48 credits.,UGRD,PROD 412 = ACTT 465
47848,ACTT,201,Introduction to Acting I,3.0,LAB,Laboratory,anti req for ACTT201,UGRD,TPER 201 = ACTT 201
47848,ACTT,201,Introduction to Acting I,3.0,STU,Studio,anti req for ACTT201,UGRD,TPER 201 = ACTT 201
47849,ACTT,202,Introduction to Acting II,3.0,LAB,Laboratory,prereq for ACTT202,UGRD,TPER 202 = ACTT 202
47849,ACTT,202,Introduction to Acting II,3.0,STU,Studio,prereq for ACTT202,UGRD,TPER 202 = ACTT 202
47850,ACTT,209,The Engaged Theatre Artist,3.0,LAB,Laboratory,,UGRD,TPER 209 = ACTT 209
47850,ACTT,209,The Engaged Theatre Artist,3.0,STU,Studio,,UGRD,TPER 209 = ACTT 209
47851,ACTT,210,Scene Study I,3.0,LAB,Laboratory,pre req for ACTT210,UGRD,TPER 210 = ACTT 210
47851,ACTT,210,Scene Study I,3.0,STU,Studio,pre req for ACTT210,UGRD,TPER 210 = ACTT 210
47852,ACTT,211,Voice and Movement for the Stage I,3.0,LAB,Laboratory,,UGRD,TPER 231 = ACTT 211
47852,ACTT,211,Voice and Movement for the Stage I,3.0,STU,Studio,,UGRD,TPER 231 = ACTT 211
47854,ACTT,298,Special Topics in Acting,3.0,STU,Studio,,UGRD,
47855,ACTT,299,Special Topics in Acting,6.0,STU,Studio,,UGRD,
47856,ACTT,331,Scene Study II,3.0,STU,Studio,Prerequisite ACTT331,UGRD,TPER 311 = ACTT 331
47857,ACTT,360,Ensemble II,3.0,LAB,Laboratory,Prerequisite for ACTT360,UGRD,TPER 325 = ACTT 360
47857,ACTT,360,Ensemble II,3.0,STU,Studio,Prerequisite for ACTT360,UGRD,TPER 325 = ACTT 360
47858,ACTT,321,Movement for the Stage II,3.0,STU,Studio,"Prerequisite: The following course must be completed previously: ACTT211. If Prerequisites are not satisfied, permission of the Program Coordinator is required",UGRD,TPER 331 = ACTT 321
47859,ACTT,435,CREATION PROJECT,3.0,LAB,Laboratory,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,TPER 333= ACTT 435
47859,ACTT,435,CREATION PROJECT,3.0,STU,Studio,"Prerequisite: Prerequisite: FFAR250 or 248 & 249; PERC211, PERC212. Permission of the Department of Theatre is required.",UGRD,TPER 333= ACTT 435
47860,ACTT,325,Voice for the Stage II,3.0,STU,Studio,Prerequisite for ACTT325,UGRD,TPER 345 = ACTT 325
47861,ACTT,355,Voice for the Stage III,3.0,STU,Studio,"Prerequisite ACTT325. If Prerequisites are not satisfied, permission of the Department of Theatre is required.",UGRD,TPER 355 = ACTT 355
47862,ACTT,398,Special Topics in Acting,3.0,LAB,Laboratory,"Prerequisite: The following course must be completed previously: ACTT211. If Prerequisites are not satisfied, permission of the Program Coordinator is required",UGRD,
47862,ACTT,398,Special Topics in Acting,3.0,STU,Studio,"Prerequisite: The following course must be completed previously: ACTT211. If Prerequisites are not satisfied, permission of the Program Coordinator is required",UGRD,
47863,ACTT,399,Special Topics in Acting,6.0,STU,Studio,,UGRD,
47864,ACTT,358,Movement for the Stage III,3.0,LAB,Laboratory,Prerequisite: ACTT321,UGRD,TPER 431 = ACTT 358
47864,ACTT,358,Movement for the Stage III,3.0,STU,Studio,Prerequisite: ACTT321,UGRD,TPER 431 = ACTT 358
47865,ACTT,498,Special Topics in Acting,3.0,LAB,Laboratory,"PrerequisiteUISITE: Prerequisite: ACTT321 and 325. If Prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,
47865,ACTT,498,Special Topics in Acting,3.0,STU,Studio,"PrerequisiteUISITE: Prerequisite: ACTT321 and 325. If Prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,
47866,ACTT,499,Special Topics in Acting,6.0,STU,Studio,,UGRD,
48916,ACTT,370,Clown for the Actor,3.0,STU,Studio,"PrerequisiteUISITE: Prerequisite: ACTT321 and 325. If Prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,
48917,ACTT,372,Stage Combat,3.0,STU,Studio,for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT321.,UGRD,
48922,ACTT,455,Voice for the Stage IV,3.0,LAB,Laboratory,"Prerequisite ACTT325. If Prerequisites are not satisfied, permission of the Department of Theatre is required.",UGRD,
48922,ACTT,455,Voice for the Stage IV,3.0,STU,Studio,"Prerequisite ACTT325. If Prerequisites are not satisfied, permission of the Department of Theatre is required.",UGRD,
48923,ACTT,458,Movement for the Stage IV,3.0,STU,Studio,Prerequisite: ACTT321,UGRD,ACTT 458 = TPER 431
50411,ACTT,362,LABAN FOR THE ACTOR,3.0,STU,Studio,"PrerequisiteUISITE: Prerequisite: ACTT321 and 325. If Prerequisites are not satisfied, permission of the Program Coordinator is required.",UGRD,
235,ACTU,256,Mathematics of Finance,3.0,LEC,Lecture,"Prerequisite: MATH264 previously or Corequisite, and permission of the Department.",UGRD,MAST335 = MATH326 = ACTU256
236,ACTU,257,Actuarial Mathematics I,3.0,LEC,Lecture,Prerequisite: ACTU256.,UGRD,ACTU 257 = MATH 327
237,ACTU,286,Actuarial Mathematics Lab I,1.0,LEC,Lecture,,UGRD,ACTU 286 = MATH 229
237,ACTU,286,Actuarial Mathematics Lab I,1.0,REA,Reading,,UGRD,ACTU 286 = MATH 229
238,ACTU,357,Actuarial Mathematics II,3.0,LEC,Lecture,Prerequisite: ACTU257.,UGRD,ACTU 357 = MATH 427
239,ACTU,386,Actuarial Mathematics Lab II,2.0,LEC,Lecture,,UGRD,ACTU386 = MATH232
239,ACTU,386,Actuarial Mathematics Lab II,2.0,LEC,Lecture,,UGRD,
241,ACTU,457,Risk Theory,3.0,LEC,Lecture,Prerequisite: ACTU257; STAT349 previously or Corequisite.,UGRD,ACTU 457 = MATH 428
242,ACTU,458,Credibility Theory,3.0,LEC,Lecture,ACTU457; STAT349 previously or Corequisite.,UGRD,
243,ACTU,459,Loss Distributions,3.0,LEC,Lecture,Prerequisite: ACTU457 and STAT360,UGRD,
244,ACTU,486,Actuarial Mathematics Lab III,2.0,LEC,Lecture,,UGRD,ACTU 486 = MATH 429
245,ACTU,493,Honours Project in Actuarial Mathematics,6.0,LEC,Lecture,,UGRD,
46445,ACTU,491,TOPICS/ACTUARIAL MATHEMATICS,3.0,LEC,Lecture,,UGRD,
46446,ACTU,492,RDG CRS/ACTUARIAL MATHEMAT S,3.0,LEC,Lecture,,UGRD,
246,ADED,201,Concepts and Principles of Adult Education,3.0,LEC,Lecture,Student must not have taken the following course: ADED496,UGRD,
247,ADED,202,The Scope and Nature of Adult Education Programs,3.0,LEC,Lecture,Student must not have taken the following course: ADED496,UGRD,
248,ADED,220,Adults as Learners,3.0,LEC,Lecture,,UGRD,
251,ADED,302,Group Dynamics,3.0,LEC,Lecture,,UGRD,
253,ADED,344,Design of Adult Learning Projects,3.0,LEC,Lecture,,UGRD,
254,ADED,345,Evaluating Adult Learning Projects,3.0,LEC,Lecture,,UGRD,
257,ADED,403,Diversity in Adults,3.0,LEC,Lecture,,UGRD,ADED403 = ADED498F
257,ADED,403,Diversity in Adults,3.0,LEC,Lecture,,UGRD,
258,ADED,410,Adult Education in Canada and Quebec,3.0,LEC,Lecture,,UGRD,
260,ADED,440,ISSUES IN THE PRACTICE,3.0,LEC,Lecture,,UGRD,
273,ADED,496,Integrative Internship I,3.0,LEC,Lecture,"Prerequisite: ADED201, ADED202 and 15 credits in the program.",UGRD,
274,ADED,497,Integrative Internship II,3.0,LEC,Lecture,Prerequisite: ADED496; Never Taken/Not Registered: ADED495,UGRD,
277,ADED,498C,ADVANCED TOPICS IN ADULT EDUCATION,3.0,LEC,Lecture,,UGRD,
46447,ADED,489,SPEC TOPICS  IN ADULT EDUC,3.0,LEC,Lecture,,UGRD,
46448,ADED,492,SPECIAL TOPICS SEM IN ADED I,3.0,LEC,Lecture,,UGRD,
46449,ADED,494,SPECIAL TOPIC SEM IN ADED II,3.0,LEC,Lecture,,UGRD,
46450,ADED,498,ADVANCED TOPICS IN ADED,3.0,LEC,Lecture,,UGRD,
316,ADIP,500,ADED-QUEBEC AS A FIELD STUDY,3.0,LEC,Lecture,,GRAD,
317,ADIP,501,PHIL ISSUES IN EDUC RESEARCH,3.0,LEC,Lecture,,GRAD,
318,ADIP,511,EDUC.PROB/PHILOSOPH.PERSPECT,3.0,LEC,Lecture,,GRAD,
319,ADIP,512,EDUC.PROB./HIST.PERSPECTIVE,3.0,LEC,Lecture,,GRAD,
320,ADIP,513,ANTH CONCEPTS & METHODS-EDUC,3.0,LEC,Lecture,,GRAD,
323,ADIP,520,ADULTS AS LEARNERS,3.0,LEC,Lecture,,GRAD,
325,ADIP,533,FACILITATING ADULT LEARNING,3.0,LEC,Lecture,,GRAD,
326,ADIP,540,INTRODUCTION TO RESEARCH,3.0,LEC,Lecture,,GRAD,
327,ADIP,541,DESIGNING ADULT LRN.PROJECTS,3.0,LEC,Lecture,,GRAD,
328,ADIP,542,EVAL ADULT LEARNING PROJECTS,3.0,LEC,Lecture,,GRAD,
329,ADIP,544,SCHOOL AND SOCIETY,3.0,LEC,Lecture,,GRAD,
333,ADIP,572,CONCEPTS & VALUES IN ADED,3.0,LEC,Lecture,,GRAD,
334,ADIP,580,READING COURSE,3.0,REA,Reading,,GRAD,
335,ADIP,581,READING COURSE,3.0,REA,Reading,,GRAD,
337,ADIP,590,ISSUES IN THE PRACTICE,3.0,LEC,Lecture,,GRAD,
345,ADIP,598,SPECIAL TOPICS IN ADED II,3.0,LEC,Lecture,,GRAD,
37543,ADIP,597,Adult Education I - Selected Topics,3.0,LEC,Lecture,,GRAD,
40012,ADIP,510,ADULT EDUC IN QUE. & CANADA,3.0,LEC,Lecture,,GRAD,
40013,ADIP,535,STUDIES/EDUCATIONAL CHANGE,3.0,LEC,Lecture,,GRAD,
40014,ADIP,585,Integrative Internship I,3.0,LEC,Lecture,"Prerequisite: 15 credits in program of study, including ADIP500.",GRAD,
40015,ADIP,586,Integrative Internship II,3.0,LEC,Lecture,Prerequisite: ADIP585,GRAD,
46451,ADIP,589,ADVANCED TOPICS IN ADED,3.0,LEC,Lecture,,GRAD,
360,ADMI,201,Introduction to Administration (Administered by the Finance Department),3.0,LEC,Lecture,,UGRD,
361,ADMI,202,Perspective on Canadian Business (Administered by the Finance Department),3.0,LEC,Lecture,Never Taken/Not Registered: MANA369,UGRD,
384,ADMI,543,SPECIAL TOPICS-INSTIT ADMIN,3.0,LEC,Lecture,,GRAD,
409,ADMI,810,ORGANIZATIONAL BEHAVIOUR,3.0,LEC,Lecture,,GRAD,
428,ADMI,811,ORGANIZATIONAL BEHAVIOUR,3.0,LEC,Lecture,,GRAD,
448,ADMI,820,DESC & M.I.S.,3.0,LEC,Lecture,,GRAD,
505,ADMI,830,MARKETING,3.0,LEC,Lecture,,GRAD,
522,ADMI,831,MARKETING,3.0,LEC,Lecture,,GRAD,
537,ADMI,831R,MARKETING MEAN'G/MANAGEMNT/BRANDS,3.0,SEM,Seminar,,GRAD,
547,ADMI,840,CORPORATE FINANCE,3.0,SEM,Seminar,,GRAD,
586,ADMI,850,BUSINESS POLICY & STRATEGY,3.0,LEC,Lecture,,GRAD,
605,ADMI,851,BUSINESS POLICY & STRATEGY,3.0,LEC,Lecture,,GRAD,
627,ADMI,852,DEBATING STRATEGIC MANAGEMENT,3.0,SEM,Seminar,,GRAD,
649,ADMI,853,BUSINESS POLICY AND STRATEGY,3.0,LEC,Lecture,,GRAD,
650,ADMI,860,FINANCIAL REPORTING AND DISCLOSURE,3.0,SEM,Seminar,,GRAD,
676,ADMI,870,RESEARCH METHODS IN MANAGEMENT: CORE AND ADVANCED ISSUES IN QUANTITATIVE STUDIES,3.0,SEM,Seminar,,GRAD,
677,ADMI,880,PEDAGOGICAL METHODS,3.0,SEM,Seminar,,GRAD,
679,ADMI,889,COMPREHENSIVE EXAMINATIONS,6.0,THE,Thesis Research,,GRAD,
680,ADMI,890,THESIS,60.0,THE,Thesis Research,,GRAD,
46452,ADMI,800,BUSINESS ECONOMICS,3.0,LEC,Lecture,,GRAD,
46453,ADMI,821,ARTIFICIAL INTELLIGENCE FOR BUSINESS: METHODS AND APPLICATIONS,3.0,SEM,Seminar,,GRAD,
46454,ADMI,822,DESC & M.I.S.,3.0,LEC,Lecture,,GRAD,
46455,ADMI,832,MARKETING,3.0,LEC,Lecture,,GRAD,
46456,ADMI,841,FINANCE,3.0,LEC,Lecture,,GRAD,
46457,ADMI,861,RESEARCH IN AUDITING,3.0,SEM,Seminar,,GRAD,
48415,ADMI,855,BUSINESS POLICY/STRATEGY,3.0,LEC,Lecture,,GRAD,
48416,ADMI,856,BUSINESS POLICY/STRATEGY,3.0,LEC,Lecture,,GRAD,
48417,ADMI,812,ORGANIZATIONAL BEHAVIOUR,3.0,LEC,Lecture,,GRAD,
48418,ADMI,813,ORGANIZATIONAL BEHAVIOUR,3.0,LEC,Lecture,,GRAD,
48419,ADMI,815,ORGANIZATIONAL BEHAVIOUR,3.0,LEC,Lecture,,GRAD,
48909,ADMI,814,ORGANIZATIONAL BEHAVIOUR,3.0,LEC,Lecture,,GRAD,
48910,ADMI,812,FOUNDATIONS AND CURRENT TOPICS IN ORGANIZATIONAL BEHAVIOUR,3.0,SEM,Seminar,,GRAD,
48911,ADMI,858,BUSINESS POLICY AND STRATEGY,3.0,LEC,Lecture,,GRAD,
50138,ADMI,833,READING COURSE,3.0,REA,Reading,,GRAD,
50596,ADMI,8201,DIGITAL INNOVATIONS: CONCEPTUALIZATION AND IMPACTS,3.0,SEM,Seminar,,GRAD,
50597,ADMI,8202,EMERGING TECHNOLOGIES AND SUPPLY CHAIN MANAGEMENT,3.0,SEM,Seminar,,GRAD,
50598,ADMI,8203,"SPECIAL TOPICS IN SUPPLY CHAIN MANAGEMENT, BUSINESS TECHNOLOGY MANAGEMENT, AND BUSINESS ANALYTICS",3.0,SEM,Seminar,,GRAD,
50599,ADMI,8301,MANAGERIAL MARKETING: ISSUES AND IMPACTS,3.0,SEM,Seminar,,GRAD,
50604,ADMI,8302,FUNDAMENTALS OF BEHAVIOURAL MARKETING,3.0,SEM,Seminar,,GRAD,
50605,ADMI,8303,RESEARCH METHODS IN MARKETING: SURVEY AND EXPERIMENTAL APPROACHES,3.0,SEM,Seminar,,GRAD,
50606,ADMI,8304,RESEARCH METHODS IN MARKETING: QUALITATIVE AND QUANTITATIVE APPROACHES,3.0,SEM,Seminar,,GRAD,
50607,ADMI,8401,DERIVATIVES PRICING,3.0,SEM,Seminar,,GRAD,
50608,ADMI,8402,ASSET PRICING AND INVESTMENTS,3.0,SEM,Seminar,,GRAD,
50609,ADMI,8403,RESEARCH METHODOLOGY IN FINANCE AND ACCOUNTING,3.0,SEM,Seminar,,GRAD,
